tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-01-01 00:00:00-05:00,2021-01-01,Friday,23034,308141.02999999997,340920.04000000004,14.59,9.0,29.0,2.0,13.9,3.599251009508923,13.377660415038637,3.71718901639097,893.0 / 906.25,225.67 / 224.0,525.0 / 511.33,1442.0 / 1394.67,1619.0 / 1657.33,740.2 / 772.6,100.0
2021-01-02 00:00:00-05:00,2021-01-02,Saturday,32343,432873.81,477579.89,12.69,10.0,31.0,1.87,14.1,3.459479250417466,13.383848437065208,3.867723276918401,129.25 / 163.5,167.33 / 153.33,767.67 / 719.33,2406.5 / 2328.33,2658.0 / 2707.67,1321.6 / 1395.6,140.41417035686376
2021-01-03 00:00:00-05:00,2021-01-03,Sunday,24595,359374.80000000005,394131.69000000006,14.38,9.0,32.0,1.91,17.4,4.077192811254777,14.611701565358814,3.5838894369368743,226.0 / 256.0,188.67 / 169.33,647.33 / 616.67,1856.5 / 1810.17,1988.0 / 2029.33,816.0 / 852.8,106.77693843882956
2021-01-04 00:00:00-05:00,2021-01-04,Monday,41742,539928.14,598691.0900000001,12.31,9.0,31.0,1.78,12.5,3.2422867752755153,12.93488908054238,3.9893274244023424,147.25 / 166.5,471.67 / 389.67,2298.33 / 2221.33,3128.0 / 3095.0,2955.33 / 3034.67,1041.8 / 1113.8,181.2190674654858
2021-01-05 00:00:00-05:00,2021-01-05,Tuesday,43921,535110.5900000001,597699.7300000001,11.82,9.0,30.0,1.7,11.07199999999997,2.988862854930893,12.183479201293231,4.075477709116574,159.75 / 176.0,439.0 / 373.33,2332.67 / 2226.33,3304.83 / 3275.5,3148.67 / 3243.0,1138.4 / 1207.2,190.67899626638882
2021-01-06 00:00:00-05:00,2021-01-06,Wednesday,46326,546765.66,613187.38,11.73,9.0,30.0,1.69,9.83,2.843018134715026,11.802565729827743,4.151492368458217,153.75 / 169.75,463.0 / 402.67,2405.67 / 2299.33,3383.33 / 3346.5,3592.67 / 3657.0,1205.4 / 1298.2,201.12008335504038
2021-01-07 00:00:00-05:00,2021-01-07,Thursday,47013,565849.22,630784.81,11.55,9.0,31.0,1.7,10.228999999999942,2.8933965795966983,12.036015995575692,4.15878885553295,135.25 / 160.75,441.67 / 372.33,2486.0 / 2381.33,3421.5 / 3384.83,3500.33 / 3561.67,1331.8 / 1423.0,204.10263089346182
2021-01-08 00:00:00-05:00,2021-01-08,Friday,47180,553034.63,623373.34,11.67,9.0,30.0,1.7,9.731999999999971,2.810031795154419,11.72180224671471,4.171331816813518,154.0 / 184.75,399.67 / 347.33,2342.33 / 2214.67,3328.33 / 3291.5,3491.67 / 3533.33,1578.6 / 1681.2,204.82764608839105
2021-01-09 00:00:00-05:00,2021-01-09,Saturday,37323,447451.41000000003,501068.18000000005,12.96,9.0,28.0,1.74,11.1,3.0293722033171675,11.988623904830801,3.957649086899953,248.5 / 272.25,209.67 / 180.33,1075.0 / 1024.33,2781.5 / 2726.0,2834.0 / 2876.33,1456.8 / 1527.0,162.03438395415472
2021-01-10 00:00:00-05:00,2021-01-10,Sunday,27976,364241.43,406924.86000000004,13.87,9.0,30.0,1.86,14.6,3.468134987309191,13.019782313411495,3.7542597033791916,289.5 / 313.5,145.33 / 134.33,719.67 / 668.33,2136.5 / 2085.67,2265.67 / 2328.33,921.4 / 963.0,121.4552400798819
