tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night
2021-01-31 00:00:00-05:00,2021-01-01,Friday,1284063,15324778.770000007,17008514.46,11.9,9.0,29.0,1.7,10.2,2.9925239857226638,11.93460038175697,3.9881529899432424,6257.5 / 6971.5,10973.33 / 9432.0,59352.0 / 56578.67,94142.0 / 92830.0,96086.0 / 97917.67,38989.4 / 41482.4
2021-02-28 00:00:00-05:00,2021-02-01,Monday,1277688,15202071.650000008,16632586.069999997,11.06,10.0,31.0,1.7,9.36,2.8807332570469644,11.898109436732602,4.130200086086635,6282.5 / 7177.25,10697.33 / 9140.33,58458.0 / 55367.33,89866.17 / 88579.33,95621.0 / 96940.0,43806.4 / 46632.0
2021-03-31 00:00:00-04:00,2021-03-01,Monday,1801190,21556807.490000013,23775834.440000013,11.28,10.0,31.0,1.73,9.63,2.8446320664783804,11.968091922562307,4.207305065942272,9601.75 / 11142.25,14092.33 / 11978.0,78462.33 / 74430.33,122550.67 / 120608.17,134128.33 / 135781.33,69486.0 / 73280.6
2021-04-30 00:00:00-04:00,2021-04-01,Thursday,2030933,25484003.45,26661897.550000004,11.06,10.0,33.0,1.77,10.27,3.016137187848527,12.54792917836285,4.160290473583398,13197.75 / 15330.25,14835.0 / 12463.0,82394.33 / 78029.33,135765.0 / 133082.0,146942.0 / 149366.33,86207.6 / 90308.8
2021-05-31 00:00:00-04:00,2021-05-01,Saturday,2338836,29473339.819999985,29325384.840000007,11.04,10.0,34.0,1.8,10.7,3.0356448324001417,12.601712911892923,4.151222197880313,24028.75 / 27199.5,16182.67 / 13697.67,86802.33 / 82004.33,149807.5 / 146418.5,168114.67 / 170161.33,106115.4 / 110787.4
2021-06-30 00:00:00-04:00,2021-06-01,Tuesday,2636182,34145956.92999998,33583168.29000002,10.69,11.0,36.0,1.81,11.03,3.0981374836308246,12.952807101330627,4.180875763173175,34724.0 / 38452.25,20885.67 / 18230.67,98534.33 / 92821.33,160607.33 / 157117.83,181396.33 / 182840.33,126238.6 / 131597.8
2021-07-31 00:00:00-04:00,2021-07-01,Thursday,2611571,34700550.23999999,33384101.080000006,11.24,11.0,36.0,1.89,12.26,3.299162303905517,13.287232183233767,4.027558803825784,39736.0 / 43676.75,22122.0 / 19742.33,91231.67 / 86164.67,154412.67 / 151305.67,181322.33 / 181807.33,128424.6 / 133177.4
2021-08-31 00:00:00-04:00,2021-08-01,Sunday,2567134,34658606.69999997,32917133.529999983,11.42,11.0,36.0,1.9,13.23,3.4163838601526995,13.5008950448243,3.951941395766945,39623.5 / 43251.25,22579.67 / 20181.33,90869.33 / 86010.0,150302.5 / 147247.0,178301.67 / 179163.67,126314.6 / 130916.4
2021-09-30 00:00:00-04:00,2021-09-01,Wednesday,2714527,38184108.22,35203712.35000001,10.5,12.0,39.0,1.9,12.38,3.3345755550258556,14.066578899381,4.218453020040833,41697.0 / 45863.25,23639.33 / 20788.67,98455.0 / 92520.67,155442.33 / 151900.33,186931.67 / 188096.33,137601.4 / 143091.0
2021-10-31 00:00:00-04:00,2021-10-01,Friday,3213094,43523665.74000001,40977803.22,10.04,12.0,38.0,1.85,11.6,3.213399686571601,13.545718158261156,4.215440615079232,55428.5 / 60366.0,27312.33 / 24362.33,115991.33 / 108783.33,181608.17 / 177651.17,216917.33 / 217534.33,164213.6 / 170736.6
2021-11-30 00:00:00-05:00,2021-11-01,Monday,3221603,44624422.78999998,41139573.80000003,10.0,12.0,39.0,1.83,12.51,3.3089393386267534,13.851620696280703,4.186123637804495,47351.0 / 52280.0,27737.33 / 24353.67,119505.0 / 111990.67,186860.0 / 182580.0,214682.67 / 215977.67,165052.8 / 172007.4
2021-12-31 00:00:00-05:00,2021-12-01,Wednesday,2995668,41950157.770000026,38389194.37999998,10.33,12.0,38.0,1.84,13.48,3.393574701887841,14.003607132031993,4.126484813207509,43508.0 / 48239.75,24102.33 / 21343.67,106663.67 / 99559.0,181470.83 / 176967.33,199079.33 / 201643.0,148655.0 / 154653.6
