tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night
2021-01-03 00:00:00-05:00,2021-01-01,Friday,79972,1100389.6400000001,1212631.62,13.74,9.0,31.0,1.9,15.66,3.689724872753649,13.759686390236581,3.728985718873647,1248.25 / 1325.75,581.67 / 546.67,1940.0 / 1847.33,5705.0 / 5533.17,6265.0 / 6394.33,2877.8 / 3021.0
2021-01-10 00:00:00-05:00,2021-01-04,Monday,291481,3552381.080000001,3971729.39,12.12,9.0,30.0,1.71,11.0,3.00881805393536,12.187350393336098,4.050290085158816,1288.0 / 1443.5,2570.0 / 2200.0,13659.67 / 13035.67,21484.0 / 21205.0,21788.33 / 22234.33,8674.2 / 9213.4
2021-01-17 00:00:00-05:00,2021-01-11,Monday,304088,3600622.5999999996,4017448.530000001,11.84,9.0,29.0,1.71,9.86,2.858655577151389,11.840725710978399,4.142217734470762,1228.5 / 1400.75,2692.0 / 2301.0,14616.67 / 13944.0,22149.5 / 21866.67,22493.67 / 22911.33,9374.0 / 9963.2
2021-01-24 00:00:00-05:00,2021-01-18,Monday,299561,3512858.6700000004,3874347.9699999993,11.83,9.0,29.0,1.7,9.67,2.8287682400424625,11.726688954837245,4.145657952535653,1303.75 / 1466.5,2459.33 / 2093.67,13782.0 / 13156.0,22122.17 / 21786.33,22294.67 / 22789.67,9201.0 / 9771.8
2021-01-31 00:00:00-05:00,2021-01-25,Monday,308961,3558526.78,3932356.95,11.44,9.0,29.0,1.66,9.1,3.0872270449778605,11.517721589456276,3.730863693844726,1189.0 / 1335.0,2670.33 / 2290.67,15353.67 / 14595.67,22681.33 / 22438.83,23244.33 / 23588.0,8862.4 / 9513.0
2021-02-07 00:00:00-05:00,2021-02-01,Monday,264704,3208722.3400000003,3495636.89,10.66,10.0,32.0,1.7,9.31,2.7958642119897843,12.121926151474856,4.335664872558595,1302.25 / 1486.75,2135.33 / 1777.0,12180.33 / 11519.33,18139.33 / 17845.5,20754.33 / 21067.33,9089.8 / 9718.6
2021-02-14 00:00:00-05:00,2021-02-08,Monday,347436,4117198.18,4474928.55,10.83,10.0,31.0,1.7,9.06,3.077656838251379,11.850234805834747,3.8503023085290176,1379.25 / 1571.0,2862.0 / 2460.33,16197.33 / 15312.33,24793.17 / 24411.33,26323.0 / 26811.67,11402.6 / 12186.2
2021-02-21 00:00:00-05:00,2021-02-15,Monday,309484,3627603.8500000006,4001664.8300000005,11.71,9.0,29.0,1.7,9.67,2.8304204339087335,11.721458459888074,4.1411981897425925,1845.5 / 2090.25,2645.0 / 2284.0,13666.0 / 12982.67,21712.17 / 21441.67,22994.33 / 23192.33,10782.6 / 11419.2
2021-02-28 00:00:00-05:00,2021-02-22,Monday,356064,4248547.28,4660355.8,11.0,10.0,32.0,1.7,9.42,2.7954025771226996,11.931976498606993,4.2684508100200755,1755.5 / 2029.25,3055.0 / 2619.0,16414.33 / 15553.0,25221.5 / 24880.83,25549.33 / 25868.67,12531.4 / 13308.0
2021-03-07 00:00:00-05:00,2021-03-01,Monday,383651,4499865.770000001,4976892.880000002,11.17,10.0,30.0,1.7,9.2,2.7514467620348464,11.729060448167735,4.262986004019472,1823.5 / 2109.0,3146.0 / 2678.33,17495.0 / 16576.33,26576.33 / 26209.33,28426.0 / 28789.0,13939.6 / 14765.6
2021-03-14 00:00:00-05:00,2021-03-08,Monday,399917,4763093.649999998,5254859.180000001,11.27,10.0,31.0,1.74,9.4,2.822231794107497,11.910205492639717,4.2200946981971725,2347.25 / 2710.0,3118.33 / 2694.0,16851.67 / 15979.67,26904.83 / 26465.33,30153.0 / 30401.0,15746.0 / 16612.2
2021-03-21 00:00:00-04:00,2021-03-15,Monday,422113,5014775.77,5537714.46,11.19,10.0,31.0,1.7,9.51,2.814908268182896,11.880173721254737,4.2205203502224045,2276.75 / 2654.25,3060.33 / 2591.33,18550.0 / 17605.0,28977.5 / 28467.67,30994.67 / 31554.67,16265.2 / 17087.4
2021-03-28 00:00:00-04:00,2021-03-22,Monday,414983,5065662.489999999,5560267.380000003,11.45,10.0,32.0,1.78,10.02,2.931855007783621,12.206915680883315,4.163568021009584,2531.75 / 2936.25,3149.67 / 2666.0,17134.0 / 16240.33,27659.0 / 27190.5,31027.33 / 31350.67,16993.8 / 17864.8
2021-04-04 00:00:00-04:00,2021-03-29,Monday,180526,2213409.81,2446100.54,11.36,10.0,32.0,1.75,10.4,2.9612858480270776,12.260892115263175,4.140524231368791,622.5 / 732.75,1618.0 / 1348.33,8431.67 / 8029.0,12433.0 / 12275.33,13527.33 / 13686.0,6541.4 / 6950.6
2021-04-04 00:00:00-04:00,2021-04-01,Thursday,238172,2925883.0900000003,3188829.630000001,12.01,10.0,31.0,1.8,10.63,3.0345498708878296,12.284748375123861,4.048351381386306,1770.5 / 2058.0,1474.67 / 1285.33,7936.33 / 7468.67,16435.5 / 16093.0,17135.67 / 17441.67,10567.4 / 10959.0
2021-04-11 00:00:00-04:00,2021-04-05,Monday,449500,6012031.7,6429178.4799999995,11.25,10.0,33.0,1.8,10.7,3.0236322032917884,13.374931479421582,4.423487949682576,2926.75 / 3375.25,3328.33 / 2795.0,18135.0 / 17179.67,30178.67 / 29620.83,32790.33 / 33233.67,18792.0 / 19729.8
2021-04-18 00:00:00-04:00,2021-04-12,Monday,478602,5898514.29,6118965.87,10.89,10.0,33.0,1.75,10.11,3.195706685945682,12.324466446024044,3.856542315114174,3017.5 / 3483.25,3487.33 / 2927.0,19252.33 / 18234.0,32406.0 / 31735.5,35004.33 / 35572.67,19772.8 / 20811.0
2021-04-25 00:00:00-04:00,2021-04-19,Monday,488981,5995870.100000002,6160637.130000004,10.99,10.0,32.0,1.77,10.01,2.914734480516028,12.261969483476866,4.206991452788277,3893.0 / 4417.25,3479.0 / 2930.33,19738.33 / 18679.33,32089.33 / 31442.33,35228.67 / 35840.0,21107.0 / 22061.8
2021-05-02 00:00:00-04:00,2021-04-26,Monday,375678,4651704.270000001,4764286.4399999995,10.53,10.0,34.0,1.74,10.06,2.8987161201705756,12.382157778736046,4.271591215349461,1590.0 / 1996.5,3065.67 / 2525.33,17332.33 / 16467.67,24655.5 / 24190.33,26783.0 / 27278.33,15968.4 / 16747.2
2021-05-02 00:00:00-04:00,2021-05-01,Saturday,132348,1650637.3699999999,1637872.6900000004,12.47,10.0,30.0,1.9,10.65,3.137347745269903,12.47194797050201,3.9753286899353553,2482.75 / 2699.75,652.0 / 580.67,3141.0 / 2927.33,8583.33 / 8383.83,9285.33 / 9375.0,6336.4 / 6519.4
